,avg_score,ci_bound,cv_scores,feature_idx,feature_names,std_dev,std_err
1,0.9944444444444445,0.014281010203415224,[0.97222222 1.         1.         1.         1.        ],"(11683,)","('MMP11',)",0.011111111111111117,0.0055555555555555575
2,1.0,0.0,[1. 1. 1. 1. 1.],"(4, 11683)","('MMP2', 'MMP11')",0.0,0.0
3,1.0,0.0,[1. 1. 1. 1. 1.],"(1, 4, 11683)","('CREB3L1', 'MMP2', 'MMP11')",0.0,0.0
4,1.0,0.0,[1. 1. 1. 1. 1.],"(1, 2, 4, 11683)","('CREB3L1', 'RPS11', 'MMP2', 'MMP11')",0.0,0.0
5,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 1, 2, 4, 11683)","('ELMO2', 'CREB3L1', 'RPS11', 'MMP2', 'MMP11')",0.0,0.0
6,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 1, 2, 3, 4, 11683)","('ELMO2', 'CREB3L1', 'RPS11', 'PNMA1', 'MMP2', 'MMP11')",0.0,0.0
7,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 1, 2, 3, 4, 6, 11683)","('ELMO2', 'CREB3L1', 'RPS11', 'PNMA1', 'MMP2', 'ZHX3', 'MMP11')",0.0,0.0
8,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 1, 2, 3, 4, 6, 9, 11683)","('ELMO2', 'CREB3L1', 'RPS11', 'PNMA1', 'MMP2', 'ZHX3', 'RXFP3', 'MMP11')",0.0,0.0
9,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 1, 2, 3, 4, 6, 7, 9, 11683)","('ELMO2', 'CREB3L1', 'RPS11', 'PNMA1', 'MMP2', 'ZHX3', 'ERCC5', 'RXFP3', 'MMP11')",0.0,0.0
10,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 1, 2, 3, 4, 5, 6, 7, 9, 11683)","('ELMO2', 'CREB3L1', 'RPS11', 'PNMA1', 'MMP2', 'C10orf90', 'ZHX3', 'ERCC5', 'RXFP3', 'MMP11')",0.0,0.0
11,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11683)","('ELMO2', 'CREB3L1', 'RPS11', 'PNMA1', 'MMP2', 'C10orf90', 'ZHX3', 'ERCC5', 'RXFP3', 'APBB2', 'MMP11')",0.0,0.0
12,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11683)","('ELMO2', 'CREB3L1', 'RPS11', 'PNMA1', 'MMP2', 'C10orf90', 'ZHX3', 'ERCC5', 'GPR98', 'RXFP3', 'APBB2', 'MMP11')",0.0,0.0
13,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 11683)","('ELMO2', 'CREB3L1', 'RPS11', 'PNMA1', 'MMP2', 'C10orf90', 'ZHX3', 'ERCC5', 'GPR98', 'RXFP3', 'APBB2', 'PRO0478', 'MMP11')",0.0,0.0
