,avg_score,ci_bound,cv_scores,feature_idx,feature_names,std_dev,std_err
1,0.9944444444444445,0.014281010203415224,[0.97222222 1.         1.         1.         1.        ],"(11671,)","('TEAD4',)",0.011111111111111117,0.0055555555555555575
2,1.0,0.0,[1. 1. 1. 1. 1.],"(4, 11671)","('MMP2', 'TEAD4')",0.0,0.0
3,1.0,0.0,[1. 1. 1. 1. 1.],"(1, 4, 11671)","('CREB3L1', 'MMP2', 'TEAD4')",0.0,0.0
4,1.0,0.0,[1. 1. 1. 1. 1.],"(1, 2, 4, 11671)","('CREB3L1', 'RPS11', 'MMP2', 'TEAD4')",0.0,0.0
5,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 1, 2, 4, 11671)","('ELMO2', 'CREB3L1', 'RPS11', 'MMP2', 'TEAD4')",0.0,0.0
6,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 1, 2, 3, 4, 11671)","('ELMO2', 'CREB3L1', 'RPS11', 'PNMA1', 'MMP2', 'TEAD4')",0.0,0.0
7,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 1, 2, 3, 4, 6, 11671)","('ELMO2', 'CREB3L1', 'RPS11', 'PNMA1', 'MMP2', 'ZHX3', 'TEAD4')",0.0,0.0
8,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 1, 2, 3, 4, 6, 9, 11671)","('ELMO2', 'CREB3L1', 'RPS11', 'PNMA1', 'MMP2', 'ZHX3', 'RXFP3', 'TEAD4')",0.0,0.0
9,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 1, 2, 3, 4, 6, 7, 9, 11671)","('ELMO2', 'CREB3L1', 'RPS11', 'PNMA1', 'MMP2', 'ZHX3', 'ERCC5', 'RXFP3', 'TEAD4')",0.0,0.0
10,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 1, 2, 3, 4, 5, 6, 7, 9, 11671)","('ELMO2', 'CREB3L1', 'RPS11', 'PNMA1', 'MMP2', 'C10orf90', 'ZHX3', 'ERCC5', 'RXFP3', 'TEAD4')",0.0,0.0
11,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11671)","('ELMO2', 'CREB3L1', 'RPS11', 'PNMA1', 'MMP2', 'C10orf90', 'ZHX3', 'ERCC5', 'RXFP3', 'APBB2', 'TEAD4')",0.0,0.0
12,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11671)","('ELMO2', 'CREB3L1', 'RPS11', 'PNMA1', 'MMP2', 'C10orf90', 'ZHX3', 'ERCC5', 'GPR98', 'RXFP3', 'APBB2', 'TEAD4')",0.0,0.0
13,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 11671)","('ELMO2', 'CREB3L1', 'RPS11', 'PNMA1', 'MMP2', 'C10orf90', 'ZHX3', 'ERCC5', 'GPR98', 'RXFP3', 'APBB2', 'PRO0478', 'TEAD4')",0.0,0.0
14,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 11671)","('ELMO2', 'CREB3L1', 'RPS11', 'PNMA1', 'MMP2', 'C10orf90', 'ZHX3', 'ERCC5', 'GPR98', 'RXFP3', 'APBB2', 'PRO0478', 'PRSSL1', 'TEAD4')",0.0,0.0
15,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 11671)","('ELMO2', 'CREB3L1', 'RPS11', 'PNMA1', 'MMP2', 'C10orf90', 'ZHX3', 'ERCC5', 'GPR98', 'RXFP3', 'APBB2', 'PRO0478', 'PRSSL1', 'PDCL3', 'TEAD4')",0.0,0.0
16,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 11671)","('ELMO2', 'CREB3L1', 'RPS11', 'PNMA1', 'MMP2', 'C10orf90', 'ZHX3', 'ERCC5', 'GPR98', 'RXFP3', 'APBB2', 'PRO0478', 'PRSSL1', 'PDCL3', 'DECR1', 'TEAD4')",0.0,0.0
17,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 17, 11671)","('ELMO2', 'CREB3L1', 'RPS11', 'PNMA1', 'MMP2', 'C10orf90', 'ZHX3', 'ERCC5', 'GPR98', 'RXFP3', 'APBB2', 'PRO0478', 'PRSSL1', 'PDCL3', 'DECR1', 'CADM4', 'TEAD4')",0.0,0.0
18,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 17, 18, 11671)","('ELMO2', 'CREB3L1', 'RPS11', 'PNMA1', 'MMP2', 'C10orf90', 'ZHX3', 'ERCC5', 'GPR98', 'RXFP3', 'APBB2', 'PRO0478', 'PRSSL1', 'PDCL3', 'DECR1', 'CADM4', 'RPS18', 'TEAD4')",0.0,0.0
19,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 17, 18, 19, 11671)","('ELMO2', 'CREB3L1', 'RPS11', 'PNMA1', 'MMP2', 'C10orf90', 'ZHX3', 'ERCC5', 'GPR98', 'RXFP3', 'APBB2', 'PRO0478', 'PRSSL1', 'PDCL3', 'DECR1', 'CADM4', 'RPS18', 'HNRPD', 'TEAD4')",0.0,0.0
20,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 17, 18, 19, 20, 11671)","('ELMO2', 'CREB3L1', 'RPS11', 'PNMA1', 'MMP2', 'C10orf90', 'ZHX3', 'ERCC5', 'GPR98', 'RXFP3', 'APBB2', 'PRO0478', 'PRSSL1', 'PDCL3', 'DECR1', 'CADM4', 'RPS18', 'HNRPD', 'CFHR5', 'TEAD4')",0.0,0.0
